Year,Fatalities,Civilian,Firefighter,Link
2013,1,NA,NA,
2014,2,NA,NA,https://www.fire.ca.gov/incidents/2014
2015,7,NA,NA,https://www.fire.ca.gov/incidents/2015
2016,6,NA,NA,https://www.fire.ca.gov/incidents/2016
2017,47,NA,NA,https://www.fire.ca.gov/incidents/2017
2018,100,NA,NA,https://www.fire.ca.gov/incidents/2018
2019,3,NA,NA,https://www.fire.ca.gov/incidents/2019
2020,33,NA,NA,https://www.fire.ca.gov/incidents/2020
2021,3,0,3,https://www.fire.ca.gov/incidents/2021
2022,9,9,0,https://www.fire.ca.gov/incidents/2022
2023,4,1,3,https://www.fire.ca.gov/incidents/2023
2024,1,1,0,
